sku number,sku name,product line code,product line name,cmr product line,sub platform
FDOC-PRE-PCK,Premium GMP document package: per vessel,2LT,PROJECT SERVICES,BEAService,BEA
B114408-I,PRE-NANOFILTRATION FLOW,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT110059,PRE-NANOFILTRATION FLOW PATH Pre-Nanofiltration Flow Path,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
F110-5010-001,PreSens Sensor Puck Reader Assembly,2M3,SENSOR,SUTAutomation,BEA
F400-2242-001,"Pressure Gauge, 2.5"" Stainless Steel Crimped Bezel, Liquid-Filled Case, 63mm, 0/10 Bar, Type233.53",37L,H BEA,BEAHardware,BEA
SUT16356,Pressure Measurement Line Chugai,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT110664,"PRESSURE SENSOR ASSEMBLY SUM BUFFER TRANSFER, MSD WERTHENSTEIN",2M3,SENSOR,SUTAutomation,BEA
SUT17449,"Pressure Sensor Assembly, Brammer Bio",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
F400-2238-001,"Pressure sensor transmitter with 4-20mA output, 10 psi (0.7 bar) DIN Rail mount, 24VDC",2M3,SENSOR,SUTAutomation,BEA
F400-2238-001,"Pressure sensor transmitter with 4-20mA output, 10 psi (0.7 bar) DIN Rail mount, 24VDC",2M3,SENSOR,SUTAutomation,BEA
F400-2216-001,"Pressure sensor transmitter with 4-20mA output, 30 psi (2.07 bar) DIN Rail mount, 24VDC",2M3,SENSOR,SUTAutomation,BEA
B107983-I,PRESSURE SENSOR TUBE SET,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT12285,PRESSURE SENSOR TUBE SET TUBE SET,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B24780.01,"Pressure Sensor w/AQG, KBI Biopharma",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
F400-2214-003,"Pressure Sensor, Single Use, Non-Sterile, Polysulphone, 0.25 Inch Hose Barb",2M0,G3PRO,SUTAutomation,BEA
F400-2214-001,"Pressure Sensor, Single Use,Non-Sterile,Polycarbonate,0.25 Inch Hose Barb",2M3,SENSOR,SUTAutomation,BEA
SH3B23219.01,"Pressure Vessel Gasket With AQG, Biogen",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT111697,"Presto - Presto Adaptor, Abbvie Ireland",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
PROSUT111687,"Presto-KPC Female Adaptor  , Abbvie Ireland",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SERVPM.ROCKER,"Preventative Maintenance,  HyPerforma Rocker Bioreactor",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.ROCKER,"Preventative Maintenance,  HyPerforma Rocker Bioreactor_x000D_
",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.G3LAB,"Preventative Maintenance, G3Lab Controller",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.G3LAB,"Preventative Maintenance, G3Lab Controller_x000D_
",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.G3LITE,"Preventative Maintenance, G3Lite Controller",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.G3LITE,"Preventative Maintenance, G3Lite Controller",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.G3PRO,"Preventative Maintenance, G3Pro Controller",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.G3PRO,"Preventative Maintenance, G3Pro Controller_x000D_
",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.G3DUAL,"Preventative Maintenance, G3Pro Dual Cart Controller",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.DD500,"Preventative Maintenance, Hyperforma DynaDrive 500L Single-Use Bioreactor (S.U.B.).",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.DD500,"Preventative Maintenance, Hyperforma DynaDrive 500L Single-Use Bioreactor (S.U.B.)._x000D_
",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.DD50,"Preventative Maintenance, Hyperforma DynaDrive 50L Single-Use Bioreactor (S.U.B.).",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.DD50,"Preventative Maintenance, Hyperforma DynaDrive 50L_x000D_
Single-Use Bioreactor (S.U.B.).",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.DD,"Preventative Maintenance, HyPerforma DynaDrive Single-Use Bioreactor",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.SUB,"Preventative Maintenance, HyPerforma Single-Use Bioreactor (S.U.B.)",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.SUB,"Preventative Maintenance, HyPerforma Single-Use Bioreactor (S.U.B.)_x000D_
",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.SUF,"Preventative Maintenance, HyPerforma Single-Use Fermentor (S.U.F.)",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.SUF,"Preventative Maintenance, HyPerforma Single-Use Fermentor (S.U.F.)_x000D_
",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.SUM,"Preventative Maintenance, HyPerforma Single-Use Mixer",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.SUM,"Preventative Maintenance, HyPerforma Single-Use Mixer",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.IMP,"Preventative Maintenance, imPULSE Single-Use Mixer (S.U.M.)",2LR,FIELD SERVICES,BEAService,BEA
SERVPM.IMP,"Preventative Maintenance, imPULSE Single-Use Mixer_x000D_
(S.U.M.)",2LR,FIELD SERVICES,BEAService,BEA
SV63200.09,Printer Cartridge (inSITE Integrity System),2LP,H INSITE SYSTEMS,BEAHardware,BEA
SV63200.05,Printer Lables (inSITE Integrity System),2LP,H INSITE SYSTEMS,BEAHardware,BEA
SUT19336,"Probe Assembly For 325mm Probes And Kleenpak, Just Evotech Biologics",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B6035.01,"Probe Assembly, (Non-Irradiated), Pall",2L5,HC HYPERFORMA SUB,HardwareConsumables,BEA
SV50177P.01,Probe Clip,37L,H BEA,BEAHardware,BEA
SV50177.23,"Probe Holder (hanging style), retains Probe Kits",2LH,H HYPERFORMA SUB,BEAHardware,BEA
SV5017723,"Probe Holder (hanging style), retains Probe Kits (Conventional & Disposable) in Closed Position (SST) (New Style)",37K,FLEXIBLE FINANCIAL ADJUSTMENT,FlexibleOther,FLEXIBLE SOLUTIONS
SV50177P-01,"Probe holder, plastic molded",37L,H BEA,BEAHardware,BEA
SH30720.03,Probe Sleeve Assembly for 325mm Probes and Aseptiquik G Connector,2L5,HC HYPERFORMA SUB,HardwareConsumables,BEA
SH30720.02,Probe Sleeve Assembly for Aseptiquik G,2L5,HC HYPERFORMA SUB,HardwareConsumables,BEA
MOQ FEE,PRODUCT ORDERED UNDER MOQ,1ZA,SUD OTHER PL,SUDOther,SUD OTHER
SER.18802,Product Support Agreement,2LT,PROJECT SERVICES,BEAService,BEA
F400-2005-001,Profibus card for DCS,2M5,NETWORK,SUTAutomation,BEA
F110-2472-012,"Profibus-Tee Kit, Male-Female Cable, Female-Male-Male Tee, Female-Lead Cable, 1m + 2m Length",37I,CONTROLLER BEA,SUTAutomation,BEA
F110-2472-003,"Profibus-Tee Kit, Male-Female Cable, Female-Male-Male Tee, Female-Lead Cable, 1m + 3m Length",37I,CONTROLLER BEA,SUTAutomation,BEA
F110-2472-007,"Profibus-Tee Kit, Male-Female Cable, Female-Male-Male Tee, Female-Lead Cable, 1m + 7.5m Length",37I,CONTROLLER BEA,SUTAutomation,BEA
SER.17068,Project management,2LT,PROJECT SERVICES,BEAService,BEA
SERVPM.009,Project Management Costs Associated with CO01.SUBeZCO.2335 for MSD Salamanca,2LT,Project Services,BEAService,BEA
SUT14130,"Project Mercury Sanitization Jumper, Merck Sharp & Dohme",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
F110-2148-315,"Pump Assembly, BLDC Digital 313 in 520 Opening, 135 Angle, 3 roller, 1.6mm WT tubing, not Stop on Open (digital - for all TB versions)",37I,CONTROLLER BEA,SUTAutomation,BEA
F110-2148-305-REV-6,"Pump Assembly, BLDC, Digital 313 in 520 Opening",37L,H BEA,BEAHardware,BEA
